,k,P
1969,0.008258007091358,7352.524865372
1970,0.008264524183973,7355.423042394
1971,0.008271041580968,7358.318003934
1972,0.008277559282179,7361.20975373
1973,0.008284077287443,7364.098292565
1974,0.008290595596599,7366.98362216
1975,0.008297114209488,7369.865742621
1976,0.008303633125949,7372.744658985
1977,0.008310152345825,7375.620368902
1978,0.008316671868959,7378.492877946
1979,0.008323191695195,7381.362186195
1980,0.008329711824379,7384.228295355
1981,0.008336232256358,7387.091207134
1982,0.008342752990978,7389.950923243
1983,0.00834927402809,7392.807445394
1984,0.008355795367542,7395.660775304
1985,0.008362317009187,7398.510914698
1986,0.008368838952876,7401.35786531
1987,0.008375361198462,7404.201629737
1988,0.008381883745801,7407.042201039
1989,0.008388406594748,7409.879594458
1990,0.008394929745158,7412.713805745
1991,0.008401453196891,7415.5448366
1992,0.008407976949805,7418.372688723
1993,0.008414501003761,7421.197363813
1994,0.008421025358618,7424.01886357
1995,0.00842755001424,7426.837189694
1996,0.008434074970489,7429.65234389
1997,0.00844060022723,7432.464327871
1998,0.008447125784329,7435.273143359
1999,0.008453651641651,7438.078788949
2000,0.008460177799065,7440.881271945
2001,0.008466704256439,7443.68059144
2002,0.008473231013644,7446.476749122
2003,0.008479758070548,7449.269746687
2004,0.008486285427026,7452.059585826
2005,0.008492813082949,7454.846268242
2006,0.008499341038192,7457.62979564
2007,0.008505869292629,7460.410169734
2008,0.008512397846137,7463.187392249
2009,0.008518926698593,7465.961460727
2010,0.008525455849875,7468.732384436
2011,0.008531985299862,7471.500161487
2012,0.008538515048435,7474.264793589
2013,0.008545045095475,7477.026282435
2014,0.008551575440864,7479.784628746
2015,0.008558106084486,7482.539835972
2016,0.008564637026225,7485.291904992
2017,0.008571168265967,7488.040837489
2018,0.008577699803598,7490.786635166
2019,0.008584231639006,7493.529299711
2020,0.008590763772079,7496.268832825
2021,0.008597296202707,7499.005236203
2022,0.00860382893078,7501.738507275
2023,0.00861036195619,7504.468655484
2024,0.00861689527883,7507.195678894
2025,0.008623428898593,7509.919579198
2026,0.008629962815373,7512.640358078
2027,0.008636497029067,7515.358017218
2028,0.008643031539571,7518.072558301
2029,0.008649566346783,7520.783983726
2030,0.0086561014506,7523.492290692
2031,0.008662636850924,7526.197487269
2032,0.008669172547654,7528.89957245
2033,0.008675708540692,7531.598547925
2034,0.00868224482994,7534.294415382
2035,0.008688781415303,7536.987176511
2036,0.008695318296683,7539.676833059
2037,0.008701855473988,7542.363383293
2038,0.008708392947124,7545.046834929
2039,0.008714930715997,7547.727186853
2040,0.008721468780517,7550.40443967
2041,0.008728007140592,7553.078597004
2042,0.008734545796134,7555.749659625
2043,0.008741084747052,7558.417629208
2044,0.00874762399326,7561.082507424
2045,0.008754163534672,7563.744295951
2046,0.008760703371199,7566.402996469
2047,0.00876724350276,7569.058610677
2048,0.008773783929268,7571.711135722
2049,0.008780324650641,7574.360581503
2050,0.008786865666797,7577.006945839
2051,0.008793406977656,7579.650230411
2052,0.008799948583136,7582.290436879
2053,0.008806490483159,7584.92756691
2054,0.008813032677646,7587.561622167
2055,0.00881957516652,7590.192604325
2056,0.008826117949705,7592.820512669
2057,0.008832661027125,7595.445353184
2058,0.008839204398705,7598.067125519
2059,0.008845748064373,7600.685831343
2060,0.008852292024054,7603.301472323
2061,0.008858836277677,7605.914050131
2062,0.008865380825173,7608.523566439
2063,0.008871925666469,7611.130019761
2064,0.008878470801498,7613.733417476
2065,0.008885016230191,7616.33375858
2066,0.008891561952482,7618.931045027
2067,0.008898107968303,7621.525276388
2068,0.008904654277589,7624.116457366
2069,0.008911200880276,7626.704588324
2070,0.0089177477763,7629.289670916
2071,0.008924294965599,7631.871706798
2072,0.00893084244811,7634.45069763
2073,0.008937390223773,7637.026645081
2074,0.008943938292527,7639.599552357
2075,0.008950486654314,7642.169411513
2076,0.008957035309075,7644.7362379
2077,0.008963584256752,7647.300027391
2078,0.00897013349729,7649.860781635
2079,0.008976683030633,7652.418502282
2080,0.008983232856725,7654.973190976
2081,0.008989782975514,7657.52484937
2082,0.008996333386945,7660.073477182
2083,0.009002884090968,7662.619079184
2084,0.00900943508753,7665.161656078
2085,0.009015986376581,7667.701209184
2086,0.009022537958072,7670.237740153
2087,0.009029089831955,7672.771250637
2088,0.00903564199818,7675.301742291
2089,0.009042194456702,7677.829217158
2090,0.009048747207475,7680.353672127
2091,0.009055300250452,7682.875116532
2092,0.009061853585591,7685.393548571
2093,0.009068407212846,7687.908968723
2094,0.009074961132176,7690.421380742
2095,0.009081515343539,7692.930785281
2096,0.009088069846894,7695.437183982
2097,0.009094624642201,7697.940578482
2098,0.00910117972942,7700.44097042
2099,0.009107735108513,7702.938361439
2100,0.009114290779443,7705.432753198
2101,0.009120846742172,7707.92414245
2102,0.009127402996666,7710.412539737
2103,0.009133959542888,7712.897942518
2104,0.009140516380804,7715.380352427
2105,0.009147073510382,7717.859771096
2106,0.009153630931588,7720.336200154
2107,0.009160188644391,7722.80964123
2108,0.00916674664876,7725.280095959
2109,0.009173304944664,7727.747563398
2110,0.009179863532075,7730.212049854
2111,0.009186422410964,7732.673554758
2112,0.009192981581303,7735.132079745
